Dates GLD SPY SHY
41983 117.959999 199.137543 84.218838
41982 118.190002 202.382004 84.149171
41981 115.779999 202.519232 84.119306
41978 114.43 203.88171 84.129261
41977 115.879997 203.548445 84.288506
41976 116.330002 203.773887 84.23874
41975 115.139999 202.989724 84.278552
41974 116.580002 201.686055 84.328318
41971 112.110001 203.097547 84.329311
41969 115.160004 203.528837 84.299465
41968 115.379997 203.009332 84.289514
41967 115.110001 203.156356 84.279563
41964 115.389999 202.587838 84.269611
41963 114.860001 201.509627 84.249716
41962 113.68 201.156754 84.229821
41961 115.050003 201.480222 84.239765
41960 114.050003 200.323577 84.249716
41957 114.470001 200.196161 84.259667
41956 111.669998 200.147148 84.21987
41955 111.5 199.921706 84.199967
41954 112.040001 200.137337 84.170121
41953 110.459999 199.9413 84.180072
41950 112.970001 199.313972 84.239765
41949 109.879997 199.127732 84.180072
41948 109.790001 198.333771 84.199967
41947 112.220001 197.088928 84.21987
41946 112.150002 197.775065 84.229821
41943 112.660004 197.667242 84.240759
41942 115.190002 195.432386 84.260655
41941 116.410004 194.187527 84.230819
41940 118.099998 194.481591 84.340223
41939 118.059998 192.276139 84.360111
41936 118.349998 192.540783 84.360111
41935 118.519997 191.070482 84.340223
41934 119.339996 188.874842 84.379999
41933 120.019997 190.227524 84.399895
41932 119.800003 186.532164 84.419783
41929 118.989998 184.738395 84.370059
41928 119.220001 182.581957 84.419783
41927 118.989998 182.738777 84.469515
41926 118.589996 183.983636 84.360111
41925 118.519997 183.699385 84.310379
41922 117.589996 186.767402 84.280543
41921 117.639999 188.923855 84.240759
41920 117.470001 192.746631 84.240759
41919 116.360001 189.433549 84.151251
41918 116.029999 192.403555 84.101519
41915 114.610001 192.629012 84.021958
41914 116.739998 190.531384 84.101519
41913 116.769997 190.501979 84.111467
41912 116.209999 193.119112 84.021959
41911 117.029999 193.628806 84.04184
41908 117.059998 193.981679 84.021959
41907 117.389999 192.452568 84.061729
41906 117.050003 195.608815 84.00207
41905 117.599998 194.089501 84.031896
41904 116.849998 195.206929 84.012015
41901 117.089996 196.726243 83.952364
41900 117.779999 196.903672 83.9623
41899 117.540001 195.85973 83.952364
41898 118.830002 195.596303 84.04184
41897 118.639999 194.132843 83.992133
41894 118.379997 194.279198 83.952364
41893 119.470001 195.420695 83.972245
41892 120.260002 195.196302 83.9623
41891 120.870003 194.464572 83.952364
41890 120.730003 195.703624 84.00207
41887 122.059998 196.210961 84.051785
41886 121.480003 195.332891 84.021959
41885 122.150002 195.61582 84.031896
41884 121.650002 195.723141 84.012015
41880 123.860001 195.820711 84.083596
41879 124 195.264589 84.043839
41878 123.32 195.37191 84.023964
41877 123.349998 195.449963 84.004082
41876 122.739998 195.323125 83.974267
41873 123.190002 194.337734 84.004082
41872 122.879997 194.64018 84.023964
41871 124.220001 194.074307 84.023964
41870 124.68 193.557219 84.103478
41869 124.959999 192.552311 84.103478
41866 125.480003 190.952262 84.103478
41865 126.309998 190.991281 84.103478
41864 126.199997 190.093694 84.083596
41863 125.989998 188.815608 84.043839
41862 125.959999 189.079035 84.043839
41859 126.190002 188.532679 84.043839
41858 126.18 186.376508 84.093537
41857 125.669998 187.391182 84.05378
41856 123.870003 187.332631 84.033905
41855 123.989998 189.166839 84.033905
41852 124.379997 187.8107 84.033905
41851 123.389999 188.386324 83.927556
41850 124.830002 192.181563 83.887812
41849 125.199997 192.152295 83.927556
41848 125.580002 192.981595 83.907681
41845 125.790001 192.903542 83.947425
41844 124.349998 193.81088 83.937494
41843 125.620003 193.801129 83.9673
41842 125.739998 193.371845 83.937494
41841 126.339996 192.532794 83.937494
41838 126.129997 192.893791 83.927556
41837 127.089996 190.942511 83.997107
41836 124.970001 193.137701 83.927556
41835 124.529999 192.425473 83.937494
41834 125.720001 192.78647 83.977231
41831 128.779999 191.820581 83.987169
41830 128.539993 191.557154 83.9673
41829 127.839996 192.318152 83.927556
41828 127.07 191.459599 83.917619
41827 127.019997 192.698651 83.89775
41823 127.160004 193.371845 83.917619
41822 127.699997 192.425473 83.927556
41821 127.699997 192.230348 83.957363
41820 128.039993 190.952262 83.992137
41817 126.660004 191.049832 83.982209
41816 126.730003 190.679084 83.96234
41815 126.989998 190.815673 83.942477
41814 126.980003 189.957105 83.932542
41813 126.849998 191.108368 83.902745
41810 126.5 191.166904 83.902745
41809 126.940002 190.779573 83.902745
41808 122.669998 190.565954 83.91268
41807 122.279999 189.17745 83.84315
41806 122.419998 188.653108 83.91268
41803 122.959999 188.497762 83.932542
41802 122.639999 187.924868 83.982209
41801 121.410004 189.264835 83.952405
41800 121.389999 189.925114 83.922607
41799 120.650002 189.90569 83.942477
41796 120.610001 189.711496 84.002072
41795 120.660004 188.80847 84.021934
41794 119.760002 187.585031 84.012007
41793 120.010002 187.206347 83.982209
41792 119.699997 187.303437 84.002072
41789 120.43 187.089818 84.05869
41788 120.940002 186.788815 84.038826
41787 121.199997 185.827547 84.048758
41786 121.849998 185.963484 84.028901
41782 124.510002 184.827431 84.009036
41781 124.669998 184.089471 84.028901
41780 124.389999 183.642825 84.048758
41779 124.690002 182.108664 84.048758
41778 124.580002 183.264141 84.038826
41775 124.5 182.594157 84.018969
41774 124.769997 181.963007 84.009036
41773 125.809998 183.574849 83.999104
41772 124.599998 184.448746 83.969315
41771 124.940002 184.283666 83.939526
41768 124.099998 182.506772 83.95939
41767 124.169998 182.234882 83.929594
41766 124.169998 182.429091 83.909737
41765 125.980003 181.360999 83.879947
41764 126.220001 182.953418 83.909737
41761 125.059998 182.603862 83.899804
41760 123.800003 182.866033 83.909737
41759 124.220001 182.846609 83.908742
41758 124.860001 182.302858 83.849178
41757 124.879997 181.458104 83.859108
41754 125.43 180.88521 83.859108
41753 124.559998 182.380539 83.849178
41752 123.760002 182.011559 83.869038
41751 123.779999 182.438796 83.829326
41750 124.239998 181.613451 83.869038
41746 124.75 180.982315 83.869038
41745 125.540001 180.729864 83.88889
41744 125.489998 178.85585 83.918672
41743 127.849998 177.632412 83.918672
41740 126.93 176.243892 83.928602
41739 127.010002 177.84603 83.938532
41738 126.32 181.662003 83.88889
41737 126.089996 179.729748 83.849178
41736 124.910004 178.991788 83.839249
41733 125.57 180.992019 83.829326
41732 123.919998 183.157332 83.759833
41731 124.32 183.400078 83.739973
41730 123.389999 182.788352 83.769755
41729 123.610001 181.584322 83.818399
41726 124.559998 180.108432 83.768778
41725 124.589996 179.22483 83.768778
41724 125.410004 179.603515 83.778705
41723 126.410004 180.904634 83.719149
41722 126.18 180.050161 83.709222
41719 128.470001 180.797825 83.748923
41718 127.860001 181.501789 83.739004
41717 128.089996 180.448067 83.729076
41716 130.619995 181.414788 83.868029
41715 131.639999 180.129048 83.848181
41712 133.100006 178.514626 83.877956
41711 132.210007 179.01731 83.897803
41710 131.759995 181.047429 83.848181
